标题／微博内容,信息属性,原创/转发,发布日期,原微博内容,认证类型,地域,城市,性别,全文内容,粉丝数,微博数,转,评,赞,话题,微博情绪,精准地域,中图地址,MD5-作者ID,MD5-mid,MD5-根微博mid,MD5-根微博用户UID,MD5-父微博ID,MD5-父微博用户ID
转发微博 ,非敏感,转发,2020/11/13 6:38,@合肥头条 【#合安高铁启动一个月试运行# ：12月中旬开通运营 合肥至安庆40分钟】11月10日，合安高铁将完成联调联试，11月10日~12月10日进行试运行，12月中旬具备开通运营条件。合安高铁设计时速350公里，正线全长162公里，设新合肥西、肥西、舒城东、庐江西、桐城东、桐城南等车站。开通后，合肥至安庆仅需40分钟，至九江仅需1个多小时，到南昌将缩短至2个小时。（新安晚报）http://t.cn/A6GMuABK http://t.cn/R2WxOni,普通,安徽, ,男,转发微博 【原微博】 @合肥头条 【#合安高铁启动一个月试运行# ：12月中旬开通运营 合肥至安庆40分钟】11月10日，合安高铁将完成联调联试，11月10日~12月10日进行试运行，12月中旬具备开通运营条件。合安高铁设计时速350公里，正线全长162公里，设新合肥西、肥西、舒城东、庐江西、桐城东、桐城南等车站。开通后，合肥至安庆仅需40分钟，至九江仅需1个多小时，到南昌将缩短至2个小时。（新安晚报）http://t.cn/A6GMuABK http://t.cn/R2WxOni,1,341,0,0,0,合安高铁启动一个月试运行,喜悦,其他,"[http://wx1.sinaimg.cn/bmiddle/964cd460ly1gkiqvtzab2j20j60er41b.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/964cd460ly1gkiqvu699bj20j60eewgi.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/964cd460ly1gkiqvuf258j20j60asq58.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/964cd460ly1gkiqvumznuj20j60datbk.jpg""]""",fa199bce08f0732d744e3ab386b35467,074c78d006763cd517b04befd447cdfc,455821b880b89886b945d878fbbfdce5,02651f3ad6b8fc3f3e05b2f3b102cbfc,455821b880b89886b945d878fbbfdce5,02651f3ad6b8fc3f3e05b2f3b102cbfc
#在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,非敏感,原创,2020/11/13 6:52, ,蓝V,上海,闸北区,男,#在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,2063222,29466,30,6,18,在路上看中国;合安高铁开始试运行,喜悦,"安徽省,安徽,合肥,安庆,合肥市,安庆市","[http://wx3.sinaimg.cn/bmiddle/726c1f87gy1gkov05b6eej20p30jbgzq.jpg""]""",5c0eeb200f7932f5c763e5c4598e99a4,44fb5f8c0630226bebfc9255f8232f3e,,,,
转发微博 ,非敏感,转发,2020/11/13 6:54,@长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,蓝V,浙江, ,男,转发微博 【原微博】 @长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,303,2647,0,0,0,在路上看中国;合安高铁开始试运行,中性,其他,"[http://wx3.sinaimg.cn/bmiddle/726c1f87gy1gkov05b6eej20p30jbgzq.jpg""]""",7f4e9be5b458020c7c4975ce7c20d960,55f76e941e184d10b00c0812c8f56d8d,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 6:57,@长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,普通,浙江,衢州,男,转发微博 【原微博】 @长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,0,1757,0,0,0,在路上看中国;合安高铁开始试运行,中性,其他,"[http://wx3.sinaimg.cn/bmiddle/726c1f87gy1gkov05b6eej20p30jbgzq.jpg""]""",7c872fec3ab8a7218770fd3f1fe4f3d9,adce32965149e394663d6f349f437371,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 7:04,@长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,普通,福建, ,男,转发微博 【原微博】 @长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,84,287,0,0,0,在路上看中国;合安高铁开始试运行,喜悦,其他,"[http://wx3.sinaimg.cn/bmiddle/726c1f87gy1gkov05b6eej20p30jbgzq.jpg""]""",f6b7a091f458d3569f551035c63306ff,274676a7dade3b1fd84e8e364694d583,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4
合安试运行 ,非敏感,转发,2020/11/13 7:06,@长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,普通,北京, ,男,合安试运行 【原微博】 @长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,2,681,0,0,0,在路上看中国;合安高铁开始试运行,中性,其他,"[http://wx3.sinaimg.cn/bmiddle/726c1f87gy1gkov05b6eej20p30jbgzq.jpg""]""",42c89f384522f902a944d839a118047d,edb9f864e7028bb7a734f89ccb50ac7f,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4
#合安高铁开始试运行# 迎着清晨的第一缕阳光，奔向合安[挤眼][挤眼][挤眼][加油][加油][加油]#在路上看中国# @中国铁路 @微博交通 ??,非敏感,原创,2020/11/13 7:10, ,蓝V,上海,闸北区,男,#合安高铁开始试运行# 迎着清晨的第一缕阳光，奔向合安[挤眼][挤眼][挤眼][加油][加油][加油]#在路上看中国# @中国铁路 @微博交通 ??,2063222,29466,18,12,22,在路上看中国;合安高铁开始试运行,喜悦,其他,"[http://wx3.sinaimg.cn/bmiddle/726c1f87ly1gkn6gr5mavj21400u0q4o.jpg""]""",5c0eeb200f7932f5c763e5c4598e99a4,0d507366b053b515d9796bfe730f7c4a,,,,
转发微博 ,非敏感,转发,2020/11/13 7:17,@长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,普通,浙江, ,男,转发微博 【原微博】 @长三角铁路 #在路上看中国# 【今天起，#合安高铁开始试运行#】今天，小编将和央视、新华社、人民网、中国新闻网、安徽电视台、安徽人民广播电台、安徽日报等近20家中央和地方媒体记者，从合肥南站登上前往安庆站的试运行列车，带大家体验合肥至安庆间的高铁速度，小编将在@长三角铁路 微博动态发布相关信息，请持续关注哦！@中国铁路 @微博交通,57,41825,0,0,0,在路上看中国;合安高铁开始试运行,喜悦,其他,"[http://wx3.sinaimg.cn/bmiddle/726c1f87gy1gkov05b6eej20p30jbgzq.jpg""]""",1f7af98dc5d1334c0ed188ffcfca0f46,d8fef818c2102163a60e1be9b851a24d,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4,44fb5f8c0630226bebfc9255f8232f3e,5c0eeb200f7932f5c763e5c4598e99a4
转发微博 ,非敏感,转发,2020/11/13 7:17,@长三角铁路 #合安高铁开始试运行# 迎着清晨的第一缕阳光，奔向合安[挤眼][挤眼][挤眼][加油][加油][加油]#在路上看中国# @中国铁路 @微博交通 ??,普通,浙江, ,男,转发微博 【原微博】 @长三角铁路 #合安高铁开始试运行# 迎着清晨的第一缕阳光，奔向合安[挤眼][挤眼][挤眼][加油][加油][加油]#在路上看中国# @中国铁路 @微博交通 ??,57,41825,0,0,0,在路上看中国;合安高铁开始试运行,喜悦,其他,"[http://wx3.sinaimg.cn/bmiddle/726c1f87ly1gkn6gr5mavj21400u0q4o.jpg""]""",1f7af98dc5d1334c0ed188ffcfca0f46,fcbd97bed5aaf928175e0f35901becdf,0d507366b053b515d9796bfe730f7c4a,5c0eeb200f7932f5c763e5c4598e99a4,0d507366b053b515d9796bfe730f7c4a,5c0eeb200f7932f5c763e5c4598e99a4
#合安高铁开始试运行# 上午7点20分，G55401次动车组已经停靠合肥南站10号站台，列车将于7点40分，从合肥南站出发，中途停靠肥西站，预计上午8点46分到达安庆站。#在路上看中国# @中国铁路 @微博交通 ??,非敏感,原创,2020/11/13 7:23, ,蓝V,上海,闸北区,男,#合安高铁开始试运行# 上午7点20分，G55401次动车组已经停靠合肥南站10号站台，列车将于7点40分，从合肥南站出发，中途停靠肥西站，预计上午8点46分到达安庆站。#在路上看中国# @中国铁路 @微博交通 ??,2063222,29466,30,25,36,在路上看中国;合安高铁开始试运行,中性,"安徽省,安徽,合肥,安庆,合肥市,安庆市","[http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6tta4qgj21400u0dpo.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6trz6q6j21400u0dn4.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/726c1f87ly1gkn6tq2gacj21400u0gr8.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gkn6tr0e4hj21400u07em.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/726c1f87ly1gkn6tpekhjj21400u0wj7.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/726c1f87ly1gkn6tnkzsqj21400u07ae.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6to7qn4j21400u0djx.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6totov4j21400u0gr4.jpg""&&&&""http://wx1.sinaimg.cn/bmiddle/726c1f87ly1gkn6tmqrv1j20u0140n43.jpg""]""",5c0eeb200f7932f5c763e5c4598e99a4,613f2b52989d4092ee91ab42d6d42a8b,,,,
